[2024-07-05 16:57:49,256] 55	T_sample 24.71	T_update 7.59	ETA 17:26:19	expert_R_avg 0.2876 [0.2788,0.3297,0.2010,0.3385,0.9336]	expert_R_range (0.0421, 0.9282)	eps_len 38.92
[2024-07-05 16:58:22,252] 56	T_sample 25.13	T_update 7.73	ETA 17:44:11	expert_R_avg 0.2873 [0.2790,0.3294,0.2007,0.3366,0.9333]	expert_R_range (0.0421, 0.9282)	eps_len 39.40
[2024-07-05 16:58:54,784] 57	T_sample 24.83	T_update 7.61	ETA 17:29:48	expert_R_avg 0.2869 [0.2791,0.3292,0.2003,0.3347,0.9331]	expert_R_range (0.0421, 0.9282)	eps_len 39.88
[2024-07-05 16:59:27,249] 58	T_sample 24.80	T_update 7.55	ETA 17:26:40	expert_R_avg 0.2866 [0.2793,0.3289,0.2000,0.3331,0.9329]	expert_R_range (0.0421, 0.9282)	eps_len 40.35
[2024-07-05 16:59:59,683] 59	T_sample 24.84	T_update 7.48	ETA 17:24:59	expert_R_avg 0.2863 [0.2794,0.3287,0.1997,0.3313,0.9326]	expert_R_range (0.0421, 0.9282)	eps_len 40.84
[2024-07-05 17:00:32,468] 60	T_sample 25.10	T_update 7.58	ETA 17:35:56	expert_R_avg 0.2861 [0.2796,0.3284,0.1994,0.3296,0.9324]	expert_R_range (0.0421, 0.9282)	eps_len 41.31
[2024-07-05 17:01:05,852] 61	T_sample 25.50	T_update 7.78	ETA 17:54:41	expert_R_avg 0.2858 [0.2799,0.3282,0.1993,0.3279,0.9322]	expert_R_range (0.0421, 0.9282)	eps_len 41.80
[2024-07-05 17:01:37,631] 62	T_sample 24.10	T_update 7.57	ETA 17:02:29	expert_R_avg 0.2856 [0.2801,0.3280,0.1990,0.3263,0.9320]	expert_R_range (0.0421, 0.9282)	eps_len 42.28
[2024-07-05 17:02:09,158] 63	T_sample 23.91	T_update 7.52	ETA 16:54:06	expert_R_avg 0.2854 [0.2803,0.3277,0.1989,0.3248,0.9317]	expert_R_range (0.0421, 0.9282)	eps_len 42.76
[2024-07-05 17:02:40,725] 64	T_sample 24.07	T_update 7.39	ETA 16:54:37	expert_R_avg 0.2853 [0.2806,0.3275,0.1988,0.3235,0.9315]	expert_R_range (0.0421, 0.9282)	eps_len 43.24
[2024-07-05 17:03:12,308] 65	T_sample 23.99	T_update 7.49	ETA 16:54:46	expert_R_avg 0.2852 [0.2808,0.3273,0.1987,0.3221,0.9313]	expert_R_range (0.0421, 0.9282)	eps_len 43.73
[2024-07-05 17:03:43,752] 66	T_sample 23.87	T_update 7.47	ETA 16:49:42	expert_R_avg 0.2850 [0.2811,0.3271,0.1986,0.3206,0.9311]	expert_R_range (0.0421, 0.9282)	eps_len 44.22
[2024-07-05 17:04:15,304] 67	T_sample 23.98	T_update 7.47	ETA 16:52:47	expert_R_avg 0.2850 [0.2814,0.3269,0.1986,0.3193,0.9309]	expert_R_range (0.0421, 0.9282)	eps_len 44.70
[2024-07-05 17:04:46,975] 68	T_sample 23.97	T_update 7.60	ETA 16:56:04	expert_R_avg 0.2849 [0.2817,0.3267,0.1987,0.3181,0.9307]	expert_R_range (0.0421, 0.9282)	eps_len 45.18
[2024-07-05 17:05:18,907] 69	T_sample 24.41	T_update 7.41	ETA 17:03:49	expert_R_avg 0.2849 [0.2820,0.3265,0.1987,0.3168,0.9305]	expert_R_range (0.0421, 0.9301)	eps_len 45.67
[2024-07-05 17:05:50,898] 70	T_sample 24.37	T_update 7.51	ETA 17:04:49	expert_R_avg 0.2849 [0.2823,0.3263,0.1988,0.3157,0.9303]	expert_R_range (0.0421, 0.9301)	eps_len 46.16
[2024-07-05 17:06:22,619] 71	T_sample 24.21	T_update 7.41	ETA 16:56:04	expert_R_avg 0.2849 [0.2827,0.3262,0.1989,0.3146,0.9302]	expert_R_range (0.0421, 0.9301)	eps_len 46.64
[2024-07-05 17:06:54,033] 72	T_sample 23.94	T_update 7.38	ETA 16:45:44	expert_R_avg 0.2849 [0.2830,0.3260,0.1991,0.3135,0.9300]	expert_R_range (0.0421, 0.9301)	eps_len 47.11
[2024-07-05 17:07:25,835] 73	T_sample 24.17	T_update 7.51	ETA 16:57:05	expert_R_avg 0.2850 [0.2833,0.3258,0.1992,0.3124,0.9298]	expert_R_range (0.0421, 0.9301)	eps_len 47.59
[2024-07-05 17:07:57,431] 74	T_sample 23.98	T_update 7.50	ETA 16:50:08	expert_R_avg 0.2850 [0.2837,0.3257,0.1994,0.3114,0.9296]	expert_R_range (0.0421, 0.9301)	eps_len 48.07
[2024-07-05 17:08:29,203] 75	T_sample 24.11	T_update 7.56	ETA 16:55:32	expert_R_avg 0.2851 [0.2841,0.3256,0.1996,0.3105,0.9294]	expert_R_range (0.0421, 0.9301)	eps_len 48.54
[2024-07-05 17:09:01,048] 76	T_sample 24.17	T_update 7.57	ETA 16:57:13	expert_R_avg 0.2853 [0.2844,0.3254,0.1999,0.3096,0.9292]	expert_R_range (0.0421, 0.9301)	eps_len 49.02
[2024-07-05 17:09:32,602] 77	T_sample 24.00	T_update 7.46	ETA 16:47:40	expert_R_avg 0.2854 [0.2848,0.3253,0.2002,0.3088,0.9291]	expert_R_range (0.0415, 0.9301)	eps_len 49.49
[2024-07-05 17:10:04,403] 78	T_sample 24.14	T_update 7.56	ETA 16:54:55	expert_R_avg 0.2856 [0.2852,0.3252,0.2005,0.3080,0.9289]	expert_R_range (0.0415, 0.9301)	eps_len 49.95
[2024-07-05 17:10:36,334] 79	T_sample 24.30	T_update 7.53	ETA 16:58:33	expert_R_avg 0.2857 [0.2855,0.3250,0.2009,0.3073,0.9287]	expert_R_range (0.0415, 0.9301)	eps_len 50.41
[2024-07-05 17:11:08,233] 80	T_sample 24.23	T_update 7.57	ETA 16:57:10	expert_R_avg 0.2859 [0.2859,0.3248,0.2012,0.3066,0.9285]	expert_R_range (0.0369, 0.9301)	eps_len 50.87
[2024-07-05 17:11:40,329] 81	T_sample 24.55	T_update 7.45	ETA 17:02:48	expert_R_avg 0.2861 [0.2862,0.3247,0.2016,0.3060,0.9283]	expert_R_range (0.0369, 0.9301)	eps_len 51.33
[2024-07-05 17:12:12,137] 82	T_sample 24.29	T_update 7.40	ETA 16:52:45	expert_R_avg 0.2863 [0.2866,0.3245,0.2020,0.3054,0.9282]	expert_R_range (0.0369, 0.9301)	eps_len 51.79
[2024-07-05 17:12:43,985] 83	T_sample 24.17	T_update 7.58	ETA 16:53:52	expert_R_avg 0.2865 [0.2870,0.3244,0.2023,0.3048,0.9280]	expert_R_range (0.0369, 0.9301)	eps_len 52.25
[2024-07-05 17:13:17,354] 84	T_sample 25.62	T_update 7.63	ETA 17:41:25	expert_R_avg 0.2867 [0.2874,0.3243,0.2028,0.3042,0.9278]	expert_R_range (0.0369, 0.9301)	eps_len 52.70
[2024-07-05 17:13:51,228] 85	T_sample 26.50	T_update 7.26	ETA 17:57:05	expert_R_avg 0.2869 [0.2877,0.3242,0.2032,0.3037,0.9276]	expert_R_range (0.0369, 0.9301)	eps_len 53.15
[2024-07-05 17:14:22,664] 86	T_sample 23.86	T_update 7.47	ETA 16:38:51	expert_R_avg 0.2872 [0.2881,0.3240,0.2037,0.3032,0.9275]	expert_R_range (0.0369, 0.9301)	eps_len 53.59
[2024-07-05 17:14:54,052] 87	T_sample 23.79	T_update 7.50	ETA 16:37:09	expert_R_avg 0.2875 [0.2886,0.3239,0.2043,0.3028,0.9273]	expert_R_range (0.0369, 0.9301)	eps_len 54.04
