[2024-12-01 22:28:39,519] 16	T_sample 17.02	T_update 7.53	ETA 13:31:37	expert_R_avg 0.3059 [0.2763,0.3271,0.2135,0.4713,0.9414]	expert_R_range (0.0509, 0.9133)	eps_len 17.69
[2024-12-01 22:29:04,169] 17	T_sample 17.00	T_update 7.61	ETA 13:32:43	expert_R_avg 0.2941 [0.2642,0.3235,0.2002,0.4535,0.9408]	expert_R_range (0.0541, 0.9073)	eps_len 18.38
[2024-12-01 22:29:29,249] 18	T_sample 17.27	T_update 7.77	ETA 13:46:26	expert_R_avg 0.3011 [0.2686,0.3277,0.2107,0.4591,0.9410]	expert_R_range (0.0502, 0.9081)	eps_len 18.28
[2024-12-01 22:29:54,339] 19	T_sample 17.47	T_update 7.57	ETA 13:46:11	expert_R_avg 0.3006 [0.2719,0.3252,0.2083,0.4574,0.9409]	expert_R_range (0.0549, 0.9123)	eps_len 18.30
[2024-12-01 22:30:18,920] 20	T_sample 16.99	T_update 7.54	ETA 13:29:09	expert_R_avg 0.2965 [0.2697,0.3234,0.2023,0.4522,0.9406]	expert_R_range (0.0501, 0.9226)	eps_len 18.28
[2024-12-01 22:30:43,724] 21	T_sample 17.22	T_update 7.53	ETA 13:36:06	expert_R_avg 0.2934 [0.2668,0.3197,0.2002,0.4436,0.9399]	expert_R_range (0.0540, 0.9129)	eps_len 18.64
[2024-12-01 22:31:08,445] 22	T_sample 17.09	T_update 7.58	ETA 13:33:03	expert_R_avg 0.2953 [0.2654,0.3192,0.2032,0.4523,0.9403]	expert_R_range (0.0523, 0.9107)	eps_len 18.56
[2024-12-01 22:31:33,469] 23	T_sample 17.28	T_update 7.69	ETA 13:42:28	expert_R_avg 0.2945 [0.2654,0.3183,0.2023,0.4504,0.9399]	expert_R_range (0.0537, 0.9122)	eps_len 18.92
[2024-12-01 22:31:58,422] 24	T_sample 17.27	T_update 7.64	ETA 13:39:49	expert_R_avg 0.2907 [0.2631,0.3189,0.1972,0.4409,0.9403]	expert_R_range (0.0476, 0.9099)	eps_len 18.97
[2024-12-01 22:32:23,383] 25	T_sample 17.32	T_update 7.59	ETA 13:39:40	expert_R_avg 0.2897 [0.2647,0.3158,0.1951,0.4385,0.9403]	expert_R_range (0.0505, 0.9224)	eps_len 19.20
