[2024-12-04 00:53:52,337] 49	T_sample 1.20	T_update 0.29	ETA 346 days, 4:13:27	expert_R_avg 0.4360 [0.0000,0.1320,0.0000,0.1320,0.7400]	expert_R_range (0.3589, 0.5266)	eps_len 13.99
[2024-12-04 00:53:53,888] 50	T_sample 1.24	T_update 0.29	ETA 355 days, 0:56:06	expert_R_avg 0.4413 [0.0000,0.1428,0.0000,0.1428,0.7398]	expert_R_range (0.3616, 0.5263)	eps_len 15.66
[2024-12-04 00:53:55,392] 51	T_sample 1.19	T_update 0.30	ETA 344 days, 3:08:38	expert_R_avg 0.4356 [0.0000,0.1317,0.0000,0.1317,0.7395]	expert_R_range (0.3576, 0.5276)	eps_len 14.11
[2024-12-04 00:53:56,945] 52	T_sample 1.24	T_update 0.30	ETA 355 days, 7:50:54	expert_R_avg 0.4315 [0.0000,0.1234,0.0000,0.1234,0.7396]	expert_R_range (0.3588, 0.5264)	eps_len 14.34
[2024-12-04 00:53:58,497] 53	T_sample 1.23	T_update 0.30	ETA 355 days, 1:21:51	expert_R_avg 0.4316 [0.0000,0.1238,0.0000,0.1238,0.7394]	expert_R_range (0.3587, 0.5264)	eps_len 15.36
[2024-12-04 00:54:00,115] 54	T_sample 1.30	T_update 0.30	ETA 370 days, 6:38:53	expert_R_avg 0.4348 [0.0000,0.1307,0.0000,0.1307,0.7390]	expert_R_range (0.3577, 0.5292)	eps_len 15.04
[2024-12-04 00:54:01,642] 55	T_sample 1.21	T_update 0.30	ETA 348 days, 23:02:37	expert_R_avg 0.4329 [0.0000,0.1266,0.0000,0.1266,0.7392]	expert_R_range (0.3601, 0.5258)	eps_len 15.48
[2024-12-04 00:54:03,186] 56	T_sample 1.23	T_update 0.30	ETA 353 days, 15:15:36	expert_R_avg 0.4324 [0.0000,0.1257,0.0000,0.1258,0.7391]	expert_R_range (0.3605, 0.5250)	eps_len 15.60
[2024-12-04 00:54:04,795] 57	T_sample 1.29	T_update 0.30	ETA 368 days, 3:47:55	expert_R_avg 0.4401 [0.0000,0.1410,0.0000,0.1410,0.7392]	expert_R_range (0.3597, 0.5264)	eps_len 15.08
[2024-12-04 00:54:06,384] 58	T_sample 1.27	T_update 0.30	ETA 363 days, 7:52:13	expert_R_avg 0.4287 [0.0000,0.1184,0.0000,0.1184,0.7390]	expert_R_range (0.3602, 0.5264)	eps_len 14.41
[2024-12-04 00:54:07,919] 59	T_sample 1.21	T_update 0.31	ETA 351 days, 6:13:02	expert_R_avg 0.4389 [0.0000,0.1389,0.0000,0.1390,0.7388]	expert_R_range (0.3585, 0.5260)	eps_len 15.94
[2024-12-04 00:54:09,478] 60	T_sample 1.24	T_update 0.30	ETA 356 days, 11:05:41	expert_R_avg 0.4297 [0.0000,0.1208,0.0000,0.1208,0.7386]	expert_R_range (0.3571, 0.5258)	eps_len 15.98
[2024-12-04 00:54:11,045] 61	T_sample 1.24	T_update 0.31	ETA 358 days, 17:15:32	expert_R_avg 0.4305 [0.0000,0.1226,0.0000,0.1226,0.7385]	expert_R_range (0.3602, 0.5267)	eps_len 15.35
[2024-12-04 00:54:12,626] 62	T_sample 1.27	T_update 0.30	ETA 361 days, 14:22:52	expert_R_avg 0.4418 [0.0000,0.1450,0.0000,0.1450,0.7386]	expert_R_range (0.3584, 0.5265)	eps_len 16.38
[2024-12-04 00:54:14,162] 63	T_sample 1.22	T_update 0.30	ETA 351 days, 4:24:18	expert_R_avg 0.4305 [0.0000,0.1227,0.0000,0.1227,0.7383]	expert_R_range (0.3566, 0.5271)	eps_len 14.44
[2024-12-04 00:54:15,691] 64	T_sample 1.22	T_update 0.30	ETA 349 days, 21:01:24	expert_R_avg 0.4188 [0.0000,0.0995,0.0000,0.0995,0.7382]	expert_R_range (0.3583, 0.5255)	eps_len 14.75
[2024-12-04 00:54:17,332] 65	T_sample 1.29	T_update 0.33	ETA 375 days, 9:28:00	expert_R_avg 0.4307 [0.0000,0.1235,0.0000,0.1235,0.7380]	expert_R_range (0.3571, 0.5256)	eps_len 15.03
[2024-12-04 00:54:18,882] 66	T_sample 1.23	T_update 0.30	ETA 354 days, 11:14:40	expert_R_avg 0.4396 [0.0000,0.1412,0.0000,0.1412,0.7380]	expert_R_range (0.3569, 0.5271)	eps_len 16.23
